Date,Category,Amount,Type,Comment
2026-01-05,Salary,55000,Income,Monthly salary credit
2026-01-08,Mutual Fund SIP,10000,Investment,Index fund SIP
2026-01-10,Groceries,4200,Expense,
2026-01-12,Rent,15000,Expense,
2026-01-18,Freelance,8000,Income,Logo design project
2026-01-22,Utilities,2200,Expense,Electricity + water
2026-02-05,Salary,55000,Income,Monthly salary credit
2026-02-08,Mutual Fund SIP,10000,Investment,Index fund SIP
2026-02-09,Stocks,5000,Investment,Bought blue-chip shares
2026-02-14,Groceries,3900,Expense,
2026-02-12,Rent,15000,Expense,
2026-02-20,Travel,3500,Expense,Weekend trip
2026-03-05,Salary,55000,Income,Monthly salary credit
2026-03-08,Mutual Fund SIP,10000,Investment,Index fund SIP
2026-03-10,Groceries,4100,Expense,
2026-03-12,Rent,15000,Expense,
2026-03-15,Entertainment,1800,Expense,Movies and dinner
2026-03-18,Fixed Deposit,15000,Investment,Bank FD top-up
